Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
02-Jan-2006,     2836.80,     2849.45,     2825.40,     2835.95,       51922369,         2492.19
03-Jan-2006,     2835.95,     2887.20,     2832.05,     2883.35,       56919143,         2674.83
04-Jan-2006,     2883.00,     2909.35,     2883.00,     2904.40,       82021279,         3415.20
05-Jan-2006,     2904.45,     2916.20,     2884.80,     2899.85,       70082252,         3203.74
06-Jan-2006,     2899.85,     2921.70,     2877.25,     2914.00,       83354445,         3728.49
09-Jan-2006,     2913.35,     2927.25,     2898.25,     2910.10,       74818404,         3462.62
10-Jan-2006,     2910.15,     2913.05,     2865.60,     2870.80,       71122017,         3508.23
12-Jan-2006,     2869.35,     2869.35,     2824.00,     2850.70,       92184274,         6110.85
13-Jan-2006,     2851.40,     2878.35,     2846.70,     2850.55,       66173305,         3198.16
16-Jan-2006,     2851.35,     2855.70,     2824.05,     2833.10,       57827407,         3404.76
17-Jan-2006,     2833.80,     2861.25,     2820.65,     2829.10,       95095316,         6190.85
18-Jan-2006,     2809.90,     2840.10,     2783.85,     2809.20,      119045833,         6974.93
19-Jan-2006,     2811.10,     2875.95,     2811.10,     2870.85,       69427054,         3219.72
20-Jan-2006,     2870.80,     2912.80,     2870.80,     2900.95,       73695932,         4307.53
23-Jan-2006,     2900.30,     2900.30,     2870.95,     2884.05,       65128512,         2809.25
24-Jan-2006,     2886.35,     2914.25,     2885.75,     2908.00,       67193094,         3300.77
25-Jan-2006,     2908.75,     2949.10,     2871.25,     2940.35,       97129132,         4944.65
27-Jan-2006,     2941.90,     2989.70,     2941.90,     2982.75,      115083146,         3807.99
30-Jan-2006,     2983.30,     3002.20,     2963.65,     2974.50,       99399734,         3402.83
31-Jan-2006,     2968.95,     3005.10,     2968.85,     3001.10,       74303077,         2982.45
01-Feb-2006,     3001.30,     3011.05,     2960.90,     2971.55,       87163320,         3809.99
02-Feb-2006,     2972.20,     2997.25,     2957.55,     2967.45,       80517157,         3574.21
03-Feb-2006,     2968.10,     2973.90,     2931.85,     2940.60,       62877718,         3113.61
06-Feb-2006,     2940.95,     3009.45,     2928.10,     3000.45,       70479490,         3602.08
07-Feb-2006,     3001.15,     3025.10,     2991.25,     3020.10,       84822966,         3781.35
08-Feb-2006,     3018.20,     3021.25,     2984.90,     3008.95,       72204624,         3709.20
10-Feb-2006,     3009.15,     3031.75,     3009.10,     3027.55,       77233296,         3764.84
13-Feb-2006,     3026.15,     3042.75,     3018.50,     3041.15,       66172668,         3052.33
14-Feb-2006,     3040.25,     3051.70,     3009.90,     3017.55,       86851659,         4149.93
15-Feb-2006,     3001.40,     3048.80,     2995.30,     3022.20,       90334973,         4183.48
16-Feb-2006,     3023.10,     3036.65,     3013.70,     3021.60,       77742684,         3413.17
17-Feb-2006,     3021.65,     3038.80,     2976.70,     2981.50,       80252511,         3664.79
20-Feb-2006,     2982.35,     3010.65,     2955.85,     3005.85,       61702111,         2832.20
21-Feb-2006,     3008.55,     3042.05,     3008.55,     3035.50,       59629361,         2936.55
22-Feb-2006,     3035.65,     3055.65,     3032.50,     3050.80,       56288881,         2838.57
23-Feb-2006,     3050.85,     3078.40,     3050.85,     3062.10,      108536483,         4627.45
24-Feb-2006,     3061.70,     3072.00,     3041.60,     3050.05,       61840503,         2445.38
27-Feb-2006,     3050.30,     3070.35,     3050.30,     3067.45,       53579117,         2663.01
28-Feb-2006,     3067.90,     3090.30,     3031.80,     3074.70,      101518894,         4978.91
01-Mar-2006,     3074.60,     3127.25,     3064.00,     3123.10,       96935864,         4886.99
02-Mar-2006,     3124.25,     3170.35,     3124.25,     3150.70,      117835195,         5303.83
03-Mar-2006,     3151.30,     3167.20,     3132.60,     3147.35,       68562889,         3740.91
06-Mar-2006,     3147.25,     3194.00,     3147.20,     3190.40,       70231056,         3256.57
07-Mar-2006,     3190.45,     3192.95,     3166.75,     3182.80,       85670076,         4153.35
08-Mar-2006,     3183.45,     3187.50,     3107.90,     3116.70,      104385907,         5393.67
09-Mar-2006,     3116.75,     3132.65,     3069.85,     3129.10,       91561270,         4422.04
10-Mar-2006,     3129.05,     3189.35,     3128.60,     3183.90,       89130425,         4292.37
13-Mar-2006,     3184.10,     3221.30,     3174.05,     3202.65,       71708390,         3515.72
14-Mar-2006,     3197.20,     3223.45,     3184.05,     3195.35,       81135055,         4011.15
16-Mar-2006,     3197.30,     3230.40,     3196.95,     3226.60,       85098635,         4339.33
17-Mar-2006,     3226.90,     3258.30,     3226.90,     3234.05,       84410109,         4238.80
20-Mar-2006,     3234.20,     3268.25,     3234.20,     3265.65,       74738736,         3092.16
21-Mar-2006,     3264.65,     3292.15,     3247.25,     3262.30,       94383185,         4408.31
22-Mar-2006,     3263.35,     3267.95,     3221.95,     3240.15,       92992199,         4747.15
23-Mar-2006,     3240.85,     3265.60,     3225.20,     3247.15,      132315985,         4977.08
24-Mar-2006,     3247.15,     3286.20,     3242.60,     3279.80,      133458459,         3755.77
27-Mar-2006,     3283.40,     3327.05,     3280.80,     3321.65,      155883121,         6939.44
28-Mar-2006,     3321.45,     3344.50,     3311.85,     3325.00,      145259830,         7402.88
29-Mar-2006,     3324.85,     3359.80,     3324.80,     3354.20,      107383096,         4235.41
30-Mar-2006,     3354.25,     3433.85,     3354.25,     3418.95,      167133850,         7120.91
31-Mar-2006,     3420.55,     3425.45,     3381.90,     3402.55,      191025581,        12055.59
03-Apr-2006,     3403.15,     3478.25,     3402.45,     3473.30,       73250033,         3804.68
04-Apr-2006,     3473.10,     3508.25,     3463.85,     3483.15,       92359007,         4230.10
05-Apr-2006,     3483.15,     3513.95,     3483.15,     3510.90,       79374868,         4099.01
07-Apr-2006,     3525.60,     3555.50,     3445.90,     3454.80,      137089599,         7354.61
10-Apr-2006,     3455.00,     3489.05,     3430.40,     3478.45,      104980176,         4807.96
12-Apr-2006,     3479.10,     3484.65,     3366.75,     3380.00,      124245306,         6146.48
13-Apr-2006,     3380.40,     3391.05,     3290.35,     3345.50,      129244802,         6733.14
17-Apr-2006,     3342.15,     3433.65,     3342.15,     3425.15,       94138429,         4856.61
18-Apr-2006,     3429.00,     3521.95,     3429.00,     3518.10,      103920172,         5605.22
19-Apr-2006,     3523.65,     3570.50,     3502.75,     3535.85,      119462639,         5833.57
20-Apr-2006,     3539.80,     3578.35,     3527.25,     3573.50,      113701322,         5774.69
21-Apr-2006,     3576.75,     3592.75,     3517.10,     3573.05,      134014772,         6849.64
24-Apr-2006,     3572.80,     3585.35,     3536.30,     3548.90,       90785788,         4698.35
25-Apr-2006,     3548.80,     3552.65,     3433.55,     3462.65,       83494373,         4284.69
26-Apr-2006,     3462.65,     3562.30,     3454.10,     3555.75,       90642187,         4568.22
27-Apr-2006,     3554.70,     3598.95,     3492.75,     3508.10,      148887167,        10435.62
28-Apr-2006,     3507.45,     3517.65,     3342.85,     3508.35,      108821039,         4943.01
29-Apr-2006,     3508.35,     3565.75,     3508.35,     3557.60,       35740010,         1515.59
02-May-2006,     3557.55,     3622.05,     3556.90,     3605.45,      108347510,         5259.84
03-May-2006,     3604.40,     3640.80,     3581.40,     3634.25,       95591194,         4537.19
04-May-2006,     3630.65,     3674.50,     3621.55,     3648.40,      100108143,         5141.00
05-May-2006,     3649.45,     3676.55,     3639.55,     3663.95,      106747561,         4261.22
08-May-2006,     3668.65,     3708.55,     3668.65,     3693.15,       70284895,         3777.17
09-May-2006,     3694.65,     3725.40,     3655.65,     3720.55,       83890001,         4706.15
10-May-2006,     3720.75,     3758.05,     3717.25,     3754.25,       93510261,         4998.59
11-May-2006,     3755.80,     3774.15,     3687.90,     3701.05,       77726368,         4255.37
12-May-2006,     3704.15,     3704.15,     3633.85,     3650.05,       94028454,         4448.04
15-May-2006,     3651.00,     3653.00,     3482.85,     3502.95,      125542855,         5652.80
16-May-2006,     3502.95,     3543.50,     3382.40,     3523.30,      139746059,         6200.73
17-May-2006,     3525.05,     3641.85,     3525.05,     3635.10,      100892613,         4550.85
18-May-2006,     3636.45,     3636.45,     3365.90,     3388.90,      137036044,         6090.70
19-May-2006,     3391.85,     3493.05,     3205.25,     3246.90,      143372267,         6499.15
22-May-2006,     3254.30,     3313.90,     2896.40,     3081.35,      148001127,         6043.37
23-May-2006,     3068.60,     3221.05,     2997.35,     3199.35,      114894339,         4682.56
24-May-2006,     3203.50,     3249.75,     3091.60,     3115.55,      134699170,         5908.84
25-May-2006,     3114.70,     3198.35,     3012.95,     3177.70,      154894775,         6720.25
26-May-2006,     3177.70,     3277.95,     3177.70,     3209.60,      105522896,         4245.44
29-May-2006,     3207.25,     3255.25,     3193.15,     3214.90,       73032523,         2981.85
30-May-2006,     3215.50,     3252.10,     3167.05,     3185.30,       69451029,         3202.35
31-May-2006,     3181.95,     3181.95,     2972.90,     3071.05,      119568428,         4934.32
01-Jun-2006,     3072.55,     3130.00,     2936.60,     2962.25,      112881053,         5065.82
02-Jun-2006,     2961.50,     3099.35,     2940.20,     3091.35,      106179408,         4324.06
05-Jun-2006,     3092.60,     3125.40,     3006.40,     3016.65,       88204812,         4034.23
06-Jun-2006,     3015.05,     3015.05,     2910.30,     2937.30,       98819077,         4198.29
07-Jun-2006,     2935.25,     2956.90,     2819.45,     2860.45,      122677884,         4954.39
08-Jun-2006,     2856.90,     2859.40,     2683.20,     2724.35,      133611695,         5155.37
